data,fold,depth,min_samples_leaf,min_samples_split,prediction_method,prediction_method_leaf,evaluation_method,mse,nof_infeasibilities,training_duration
scores,1,9,5,10,medoid,medoid,mse,504.418333333333,0,98.8516297340393
scores,1,9,5,10,medoid,optimal,mse,473.967464457866,0,91.7992029190064
scores,1,9,5,10,optimal,medoid,mse,490.473333333333,0,1117.00624370575
scores,1,9,5,10,optimal,optimal,mse,443.706016954845,0,1237.31352257729
scores,1,9,5,10,sklearn,sklearn,sklearn,476.412564015281,20,0.002453327178955
scores,1,12,5,10,lagrangian,lagrangian,mse,1978.66993215532,0,1287.45130205154
scores,1,12,5,10,lagrangian,medoid,mse,494.011666666667,0,1308.37043452263
scores,1,12,5,10,lagrangian,optimal,mse,442.205635883484,0,1229.14107322693
scores,1,12,5,10,mean,medoid,mse,511.131666666667,0,3.1202552318573
scores,1,12,5,10,mean,optimal,mse,451.730388613524,0,3.35743284225464
